project_name,repo_link
"R n D",""
"Raul",""
"Research Task 1",""
"Scrubhub","https://gitea.personalsoftware.space/mkdlabs/scrubhub_backend_prod"
"Scrubhub","https://gitea.personalsoftware.space/mkdlabs/scrubhub_backend"
"Scrubhub","https://gitea.personalsoftware.space/mkdlabs/scrubhubreview_frontend"
"Scrubhub","https://gitea.personalsoftware.space/mkdlabs/scrubhub_frontend"
"Staci J","https://gitea.personalsoftware.space/mkdlabs/staci_j_frontend"
"Staci J","https://gitea.personalsoftware.space/mkdlabs/staci_j_backend"
"Staci J","https://gitea.personalsoftware.space/mkdlabs/staci_j_prod"
"Stack Easy","https://gitea.personalsoftware.space/mkdlabs/stackeasy_frontend"
"Stack Easy","https://gitea.personalsoftware.space/mkdlabs/ds_stackeasy"
"Stack Easy","https://gitea.personalsoftware.space/mkdlabs/stackeasy_backend"
"StockAI","https://gitea.personalsoftware.space/mkdlabs/stockai"
"StockAI","https://gitea.personalsoftware.space/mkdlabs/stockai_backend"
"StockAI","https://gitea.personalsoftware.space/mkdlabs/stockai_frontend"
"Thinkpartnerships","https://gitea.personalsoftware.space/mkdlabs/thinkpartnership_backend"
"Thinkpartnerships","https://gitea.personalsoftware.space/mkdlabs/thinkpartnership_prod"
"TJC",""
"Try on","https://gitea.personalsoftware.space/mkdlabs/tryon_backend"
"Try on","https://gitea.personalsoftware.space/mkdlabs/tryon_frontend"
"Upward Communities","https://gitea.personalsoftware.space/mkdlabs/upwardcommunities_frontend"
"Upward Communities","https://gitea.personalsoftware.space/mkdlabs/upwardcommunities_backend"
"Viral Velocity","https://gitea.personalsoftware.space/mkdlabs/viralv_backend"
"Viral Velocity","https://gitea.personalsoftware.space/mkdlabs/viralv_frontend"
"Viral Velocity","https://gitea.personalsoftware.space/mkdlabs/ds_viral_velocity"
"Weritas (Crypto)","https://gitea.personalsoftware.space/mkdlabs/weritas_frontend"
"Weritas (Crypto)","https://gitea.personalsoftware.space/mkdlabs/weritas_backend"
"Woocommerce Opt.",""
"Wssu","https://gitea.personalsoftware.space/mkdlabs/wssu_frontend"
"Wssu","https://gitea.personalsoftware.space/mkdlabs/wssu_backend"
"Wssu","https://gitea.personalsoftware.space/mkdlabs/wssu_prod"
"ZargesAI","https://gitea.personalsoftware.space/mkdlabs/ds_zarges"
